Command table: 45 elements
name: 0Aç; operator1: 4; operator2: 3; opcode: 81; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: °Aç; operator1: 3; operator2: 0; opcode: 5; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: 0Bç; operator1: 4; operator2: 1; opcode: 1; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 72; add_register: 0
name: 0Hç; operator1: 1; operator2: 4; opcode: 3; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 72; add_register: 0
name: °Hç; operator1: 3; operator2: 0; opcode: 25; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: 0Iç; operator1: 4; operator2: 3; opcode: 81; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 34; add_register: 0
name: °Iç; operator1: 4; operator2: 1; opcode: 21; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 72; add_register: 0
name: 0Jç; operator1: 1; operator2: 4; opcode: 23; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 72; add_register: 0
name: °Jç; operator1: 5; operator2: 0; opcode: e8; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: CLC; operator1: 0; operator2: 0; opcode: f8; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: CLD; operator1: 0; operator2: 0; opcode: fc; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: CMP; operator1: 3; operator2: 0; opcode: 3d; has_prefix: 0; prefix: 0; has_modrm: 0; modrm: 30; add_register: 0
name: CMP; operator1: 4; operator2: 3; opcode: 81; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 37; add_register: 0
name: CMP; operator1: 4; operator2: 1; opcode: 39; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 72; add_register: 0
name: CMP; operator1: 1; operator2: 4; opcode: 3b; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 72; add_register: 0
name: DEC; operator1: 4; operator2: 0; opcode: ff; has_prefix: 0; prefix: 0; has_modrm: 1; modrm: 31; add_register: 0
